Pest Code,Pesticide Name,Test Class,# of Analysis Results
001,Aldrin,A,10150
002,Allethrin,O,6718
011,Captan,A,2903
014,Chlordanes Total,A,1389
015,Chlorobenzilate,A,1770
020,Rotenone,I,1770
024,Diazinon,C,8484
026,"2,4-D",G,1243
028,Dieldrin,A,10587
032,Diuron,A,8111
034,Endrin,A,9230
035,EPN,C,266
042,Azinphos methyl,C,9907
044,Heptachlor,A,10619
047,Dicofol Total,A,1699
050,Lindane (BHC gamma),A,8934
052,Malathion,C,10559
055,Methoxychlor Total,A,2858
057,Parathion methyl,C,8212
058,MGK-264,F,7556
065,Parathion ethyl,C,7499
066,Ethylan,A,1770
069,Mevinphos Total,C,8341
070,Piperonyl butoxide,I,10092
075,Pyrethrins,A,1665
083,O-Phenylphenol,I,3018
102,Carbaryl,E,10381
103,Dioxathion,C,1770
104,Dodine,F,3517
105,Fenchlorphos (Ronnel),A,1770
107,Ethion,C,7499
108,Tetradifon,A,7499
114,Chlorpropham,E,9253
117,Disulfoton,C,6022
124,Coumaphos,C,5931
125,Diphenylamine (DPA),F,7465
126,Folpet,A,1955
129,Linuron,A,8292
130,Trichlorfon,C,1803
134,DCPA,A,8602
143,Heptachlor epoxide,A,9230
144,Dicloran,A,9689
147,Tecnazene,A,5010
148,Phorate,C,8341
149,Simazine,R,6846
151,Trifluralin,A,10619
152,Terbacil,A,8117
153,Bromacil,U,4229
155,Dicamba,G,1243
156,Ametryn,R,2562
157,Thiabendazole,B,8599
158,Nitrofen,A,1770
159,Methomyl,E,10352
160,Chlorpyrifos,C,10619
161,Pebulate,P,1419
163,Fonofos,C,5010
164,Chlorothalonil,A,2895
165,Phosmet,C,8798
166,Phosalone,C,7499
167,Aldicarb,E,6728
168,Aldicarb sulfone,E,7826
169,Aldicarb sulfoxide,E,7788
170,Methamidophos,C,10265
171,Dimethoate,C,8909
172,Chlordane trans,A,8602
173,Chlordane cis,A,8602
175,Ethoprop,C,8167
176,Tetrachlorvinphos,C,4433
177,Fenthion,C,6799
178,Omethoate,C,8929
180,Carbofuran,E,10588
181,Metribuzin,F,7600
189,Phorate sulfone,C,6922
190,Phorate sulfoxide,C,8341
191,Benfluralin,A,3222
195,Methiocarb,E,3591
196,Chloroneb,A,1770
197,Methidathion,C,8180
200,EPTC,P,4231
201,Vernolate,P,1419
202,Carbophenothion,C,3530
203,Phosphamidon,C,5010
204,Acephate,C,10177
205,Terbufos,C,1855
208,Malathion oxygen analog,C,10589
209,Dicrotophos,C,3591
