Pesticide Code,Commodity Code,EPA Tolerance Value,pp_,Note,Comment
001,AP,0.03,M,AL,Action Level
001,BB,0.05,M,AL,Action Level
001,BN,0.02,M,AL,Action Level
001,BR,0.03,M,AL,Action Level
001,BZ,0.05,M,AL,Action Level
001,CB,0.02,M,AL,Action Level
001,CE,0.03,M,AL,Action Level
001,CH,0.3,M,AL,Action Level
001,CR,0.1,M,AL,Action Level
001,CS,0.02,M,AL,Action Level
001,CZ,0.3,M,AL,Action Level
001,DF,NT,M,,
001,FS,0.3,M,AL,Action Level
001,GB,0.05,M,AL,Action Level
001,GC,0.05,M,AL,Action Level
001,GJ,0.05,M,AL,Action Level
001,GZ,0.05,M,AL,Action Level
001,NE,0.02,M,AL,Action Level
001,OA,0.02,M,AL,Action Level
001,PC,0.02,M,AL,Action Level
001,RI,0.02,M,AL,Action Level
001,SS,0.1,M,AL,Action Level
001,ST,0.05,M,AL,Action Level
001,TO,0.05,M,AL,Action Level
001,WM,0.1,M,AL,Action Level
001,YF,0.05,M,AL,Action Level
002,BB,EX,M,,Exempt from Tolerance Requirem
002,BN,EX,M,,Exempt from Tolerance Requirem
002,BR,EX,M,,Exempt from Tolerance Requirem
002,BZ,EX,M,,Exempt from Tolerance Requirem
002,CB,EX,M,,Exempt from Tolerance Requirem
002,CE,EX,M,,Exempt from Tolerance Requirem
002,CH,EX,M,,Exempt from Tolerance Requirem
002,CR,EX,M,,Exempt from Tolerance Requirem
002,CS,EX,M,,Exempt from Tolerance Requirem
002,CZ,EX,M,,Exempt from Tolerance Requirem
002,GB,EX,M,,Exempt from Tolerance Requirem
002,NE,EX,M,,Exempt from Tolerance Requirem
002,PC,EX,M,,Exempt from Tolerance Requirem
002,SS,EX,M,,Exempt from Tolerance Requirem
002,ST,EX,M,,Exempt from Tolerance Requirem
002,YF,EX,M,,Exempt from Tolerance Requirem
011,BN,NT,M,,
011,CR,0.05,M,,
011,NE,25.0,M,,
011,OA,0.05,M,,
011,PC,15.0,M,,
011,RI,0.05,M,,
014,CR,0.1,M,AL,Action Level
014,NE,0.1,M,AL,Action Level
015,BB,NT,M,,
015,BZ,NT,M,,
015,CB,NT,M,,
015,CE,NT,M,,
015,CS,NT,M,,
015,SS,NT,M,,
015,ST,NT,M,,
015,YF,NT,M,,
020,BB,NT,M,,
020,BZ,NT,M,,
020,CB,NT,M,,
020,CE,NT,M,,
020,CS,NT,M,,
020,SS,NT,M,,
020,ST,NT,M,,
020,YF,NT,M,,
024,AP,0.50,M,,
024,BB,0.50,M,,
024,BN,0.20,M,,Regional Tolerance
024,BR,0.70,M,,
024,BZ,0.50,M,,
024,CB,NT,M,,
024,CE,0.70,M,,Regional Tolerance
024,CH,0.20,M,,
024,CR,0.75,M,,
024,CS,NT,M,,
024,CZ,0.20,M,,
024,FS,NA,M,,
024,GB,0.50,M,,
024,GJ,0.75,M,,Interim Tolerance
024,NE,0.20,M,,
024,PC,0.20,M,,
024,RI,NT,M,,
024,SS,0.50,M,,Regional Tolerance
024,ST,0.50,M,,
024,WM,0.75,M,,
024,YF,NT,M,,
026,BB,0.2,M,,
026,BZ,0.2,M,,
026,CB,0.05,M,,
026,CE,0.4,M,,Inadvertent/Negligible Residue
026,CS,0.05,M,,
026,SS,0.05,M,,Inadvertent/Negligible Residue
026,ST,0.05,M,,
028,AP,0.03,M,AL,Action Level
028,BB,0.05,M,AL,Action Level
028,BN,0.02,M,AL,Action Level
028,BR,0.03,M,AL,Action Level
028,BZ,0.05,M,AL,Action Level
028,CB,0.02,M,AL,Action Level
028,CE,0.03,M,AL,Action Level
028,CH,0.03,M,AL,Action Level
028,CR,0.1,M,AL,Action Level
028,CS,0.02,M,AL,Action Level
028,CZ,0.03,M,AL,Action Level
028,DF,NT,M,,
028,FS,0.3,M,AL,Action Level
028,GB,0.05,M,AL,Action Level
028,GC,0.05,M,AL,Action Level
028,GJ,0.05,M,AL,Action Level
028,GZ,0.05,M,AL,Action Level
028,NE,0.02,M,AL,Action Level
028,OA,0.02,M,AL,Action Level
028,PC,0.02,M,AL,Action Level
028,RI,0.02,M,AL,Action Level
028,SS,0.1,M,AL,Action Level
028,ST,0.05,M,AL,Action Level
028,TO,0.05,M,AL,Action Level
028,WM,0.1,M,AL,Action Level
028,YF,0.05,M,AL,Action Level
032,AP,0.1,M,,
032,BB,0.1,M,,
032,BN,0.1,M,,
032,BZ,0.1,M,,
032,CB,NT,M,,
032,CE,NT,M,,
032,CH,NT,M,,
032,CS,NT,M,,
032,CZ,NT,M,,
032,DF,NT,M,,
032,FS,2.0,M,,
032,GB,NT,M,,
032,GC,NT,M,,
032,GJ,0.05,M,,
032,GZ,NT,M,,
032,NE,0.1,M,,
032,OA,0.1,M,,Regional Tolerance
032,RI,NT,M,,
032,SS,NT,M,,
032,ST,0.1,M,,
032,TO,NT,M,,
032,WM,NT,M,,
032,YF,NT,M,,
034,AP,0.03,M,AL,Action Level
034,BB,0.05,M,AL,Action Level
034,BN,0.02,M,AL,Action Level
034,BR,0.03,M,AL,Action Level
034,BZ,0.05,M,AL,Action Level
034,CB,0.02,M,AL,Action Level
034,CE,0.03,M,AL,Action Level
034,CH,0.03,M,AL,Action Level
034,CS,0.02,M,AL,Action Level
034,CZ,0.03,M,AL,Action Level
034,DF,NT,M,,
034,FS,0.3,M,AL,Action Level
034,GB,0.05,M,AL,Action Level
034,GC,0.05,M,AL,Action Level
034,GJ,0.05,M,AL,Action Level
034,GZ,0.05,M,AL,Action Level
034,OA,0.02,M,AL,Action Level
034,PC,0.02,M,AL,Action Level
034,RI,0.02,M,AL,Action Level
034,SS,0.1,M,AL,Action Level
034,ST,0.05,M,AL,Action Level
034,TO,0.05,M,AL,Action Level
034,WM,0.1,M,AL,Action Level
034,YF,0.05,M,AL,Action Level
035,CB,NT,M,,
035,CS,NT,M,,
035,ST,NT,M,,
042,AP,1.5,M,,
042,BB,5.0,M,,Inadvertent/Negligible Residue
042,BN,NT,M,,
042,BZ,5.0,M,,Inadvertent/Negligible Residue
042,CB,NT,M,,
042,CE,NT,M,,
042,CH,2.0,M,,
042,CR,NT,M,,
042,CS,NT,M,,
042,CZ,2.0,M,,
042,DF,NT,M,,
042,FS,NA,M,,
042,GB,NT,M,,
042,GC,NT,M,,
042,GJ,NT,M,,
042,GZ,NT,M,,
042,NE,2.0,M,,
042,OA,NT,M,,
042,PC,2.0,M,,Import Tolerance
042,RI,NT,M,,
042,SS,NT,M,,
042,ST,NT,M,,
042,TO,NT,M,,
042,WM,NT,M,,
042,YF,NT,M,,
044,AP,0.01,M,AL,Action Level
044,BB,0.05,M,AL,Action Level
044,BN,NT,M,,
044,BR,0.01,M,AL,Action Level
044,BZ,0.05,M,AL,Action Level
044,CB,0.01,M,AL,Action Level
